Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$134.99,0.85,0.634%,2340367526600.0,United States,1980.0,82910342,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,$239.51,-0.14,-0.058%,1806436098354.0,United States,1986.0,25846038,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,$3380.00,37.12,1.11%,1695918998540.0,United States,1997.0,7014736,Consumer Services,Catalog/Specialty Distribution
GOOG,Alphabet Inc. Class C Capital Stock,$1927.51,26.16,1.376%,1303818403543.0,United States,2004.0,2246080,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$1919.12,26.05,1.376%,1298143187121.0,United States,,3283750,Technology,Computer Software: Programming Data Processing
NVDA,NVIDIA Corporation Common Stock,$542.27,12.79,2.416%,335665130000.0,United States,1999.0,5497346,Technology,Semiconductors
NFLX,Netflix Inc. Common Stock,$548.16,9.12,1.692%,242777466270.0,United States,2002.0,3764397,Consumer Services,Consumer Electronics/Video Chains
INTC,Intel Corporation Common Stock,$58.00,1.31,2.311%,235654000000.0,United States,,23552732,Technology,Semiconductors
CMCSA,Comcast Corporation Class A Common Stock,$51.18,1.03,2.054%,234165039073.0,United States,,17359079,Consumer Services,Television Services
ADBE,Adobe Inc. Common Stock,$484.93,14.93,3.177%,232135991000.0,United States,1986.0,3019789,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$45.83,0.43,0.947%,193655324998.0,United States,1990.0,16504105,Technology,Computer Communications Equipment
PEP,PepsiCo Inc. Common Stock,$138.38,1.4,1.022%,191235138394.0,United States,,3581623,Consumer Non-Durables,Beverages (Production/Distribution)
QCOM,QUALCOMM Incorporated Common Stock,$164.78,3.2,1.98%,187149516931.0,United States,1991.0,6904229,Technology,Radio And Television Broadcasting And Communications Equipment
TMUS,T-Mobile US Inc. Common Stock,$131.89,3.47,2.702%,163700123887.0,United States,,3453782,Public Utilities,Telecommunications Equipment
TXN,Texas Instruments Incorporated Common Stock,$174.75,2.29,1.328%,160657138062.0,United States,,4859858,Technology,Semiconductors
COST,Costco Wholesale Corporation Common Stock,$355.58,5.06,1.444%,157506020328.0,United States,,1903942,Consumer Services,Department/Specialty Retail Stores
AMGN,Amgen Inc. Common Stock,$240.49,0.06,0.025%,140005729500.0,United States,1983.0,2442932,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SBUX,Starbucks Corporation Common Stock,$101.65,3.07,3.114%,119672545000.0,United States,1992.0,6913322,Consumer Services,Restaurants
AMD,Advanced Micro Devices Inc. Common Stock,$88.86,1.2,1.369%,107704920876.0,United States,,33786362,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$384.11,10.53,2.819%,105263741073.0,United States,1993.0,1123368,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$103.59,2.38,2.352%,95060485587.0,United States,1972.0,5106834,Technology,Semiconductors
MU,Micron Technology Inc. Common Stock,$81.62,1.19,1.48%,91305967177.0,United States,,11369357,Technology,Semiconductors
ISRG,Intuitive Surgical Inc. Common Stock,$757.84,11.73,1.572%,89088247995.0,United States,2000.0,551421,Health Care,Industrial Specialties
BKNG,Booking Holdings Inc. Common Stock,$2065.53,75.07,3.771%,84593599383.0,United States,,440674,Consumer Services,Transportation Services
GILD,Gilead Sciences Inc. Common Stock,$65.13,0.03,0.046%,81642288344.0,United States,1992.0,7742836,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MDLZ,Mondelez International Inc. Class A Common Stock,$56.16,0.91,1.647%,80317940770.0,United States,,7378081,Consumer Non-Durables,Packaged Foods
LRCX,Lam Research Corporation Common Stock,$516.07,14.62,2.916%,73903804350.0,United States,1984.0,1455480,Technology,Industrial Machinery/Components
FISV,Fiserv Inc. Common Stock,$110.02,3.52,3.305%,73561616188.0,United States,1986.0,4616387,Technology,EDP Services
ATVI,Activision Blizzard Inc. Common Stock,$93.98,2.56,2.80%,72633118246.0,United States,,5775923,Technology,Computer Software: Prepackaged Software
ADP,Automatic Data Processing Inc. Common Stock,$168.38,2.03,1.22%,72083478000.0,United States,,1863297,Technology,EDP Services
CME,CME Group Inc. Class A Common Stock,$192.01,4.57,2.438%,68929784530.0,United States,2002.0,1628542,Finance,Investment Bankers/Brokers/Service
CSX,CSX Corporation Common Stock,$89.64,2.59,2.975%,68554427235.0,United States,,3943615,Transportation,Railroads
EQIX,Equinix Inc. Common Stock REIT,$768.57,11.85,1.566%,68480909709.0,United States,2000.0,575845,Consumer Services,Real Estate Investment Trusts
ADSK,Autodesk Inc. Common Stock,$294.61,8.29,2.895%,64781617018.0,United States,,1146070,Technology,Computer Software: Prepackaged Software
ILMN,Illumina Inc. Common Stock,$440.25,-3.13,-0.706%,64276500000.0,United States,2000.0,928752,Capital Goods,Biotechnology: Laboratory Analytical Instruments
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$217.33,-14.44,-6.23%,56514035503.0,United States,1991.0,6286432,Health Care,Major Pharmaceuticals
ADI,Analog Devices Inc. Common Stock,$151.87,-0.01,-0.007%,56101318961.0,United States,,2536459,Technology,Semiconductors
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$499.98,-8.1,-1.594%,53350997875.0,United States,1991.0,883051,Health Care,Major Pharmaceuticals
MNST,Monster Beverage Corporation,$90.44,2.19,2.482%,47744791503.0,United States,,1627483,Consumer Non-Durables,Beverages (Production/Distribution)
KLAC,KLA Corporation Common Stock,$298.78,6.16,2.105%,46149504123.0,United States,1980.0,1106903,Capital Goods,Electronic Components
KDP,Keurig Dr Pepper Inc. Common Stock,$31.99,0.07,0.219%,45018032875.0,United States,,4157862,Consumer Non-Durables,Beverages (Production/Distribution)
ALGN,Align Technology Inc. Common Stock,$557.77,14.72,2.711%,43980383146.0,United States,2001.0,790901,Health Care,Industrial Specialties
IDXX,IDEXX Laboratories Inc. Common Stock,$506.65,14.23,2.89%,43217190788.0,United States,1991.0,702021,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
EA,Electronic Arts Inc. Common Stock,$148.97,3.1,2.125%,43179570342.0,United States,,4175834,Technology,Computer Software: Prepackaged Software
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$80.05,1.21,1.535%,42798015012.0,United States,1998.0,2738797,Technology,EDP Services
BIIB,Biogen Inc. Common Stock,$277.72,-0.74,-0.266%,42735997119.0,United States,,1192708,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WBA,Walgreens Boots Alliance Inc. Common Stock,$48.44,-0.39,-0.799%,41854176799.0,United States,,5512177,Health Care,Medical/Nursing Services
EXC,Exelon Corporation Common Stock,$42.85,0.77,1.83%,41803280040.0,United States,,3887468,Public Utilities,Power Generation
ROST,Ross Stores Inc. Common Stock,$116.275,3.865,3.438%,41447747185.0,United States,1985.0,1645670,Consumer Services,Clothing/Shoe/Accessory Stores
SNPS,Synopsys Inc. Common Stock,$269.76,6.19,2.349%,41282046391.0,United States,1992.0,699975,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$82.11,0.93,1.146%,40758544637.0,United States,,2584254,Public Utilities,Electric Utilities: Central
MTCH,Match Group Inc. Common Stock,$150.09,4.14,2.837%,39921425092.0,United States,,2750149,Technology,Computer Software: Programming Data Processing
MAR,Marriott International Class A Common Stock,$122.10,4.35,3.694%,39600902524.0,United States,,2591243,Consumer Services,Hotels/Resorts
EBAY,eBay Inc. Common Stock,$57.33,-1.14,-1.95%,39519777925.0,United States,1998.0,8574017,Miscellaneous,Business Services
MCHP,Microchip Technology Incorporated Common Stock,$143.92,1.67,1.174%,38692287824.0,United States,1993.0,1589274,Technology,Semiconductors
DXCM,DexCom Inc. Common Stock,$394.63,12.01,3.139%,37895372972.0,United States,2005.0,864963,Health Care,Medical/Dental Instruments
CDNS,Cadence Design Systems Inc. Common Stock,$135.72,1.32,0.982%,37856515320.0,United States,,1442128,Technology,Computer Software: Prepackaged Software
CSGP,CoStar Group Inc. Common Stock,$920.41,-4.59,-0.496%,36280792252.0,United States,1998.0,408460,Miscellaneous,Business Services
TROW,T. Rowe Price Group Inc. Common Stock,$157.41,1.32,0.846%,35642788150.0,United States,1986.0,1244841,Finance,Investment Bankers/Brokers/Service
CTAS,Cintas Corporation Common Stock,$331.22,5.73,1.76%,34788024345.0,United States,1983.0,560234,Consumer Non-Durables,Apparel
XEL,Xcel Energy Inc. Common Stock,$64.20,0.26,0.407%,34494838027.0,United States,,2002393,Public Utilities,Power Generation
ALXN,Alexion Pharmaceuticals Inc. Common Stock,$154.86,-0.84,-0.539%,33871067006.0,United States,1996.0,2068722,Health Care,Major Pharmaceuticals
XLNX,Xilinx Inc. Common Stock,$137.31,2.0,1.478%,33678984870.0,United States,1990.0,4443824,Technology,Semiconductors
PAYX,Paychex Inc. Common Stock,$90.53,1.23,1.377%,32647939277.0,United States,1983.0,1686655,Consumer Services,Diversified Commercial Services
ORLY,O'Reilly Automotive Inc. Common Stock,$444.97,8.43,1.931%,32237373002.0,United States,1993.0,780936,Consumer Services,Other Specialty Stores
ANSS,ANSYS Inc. Common Stock,$375.12,7.18,1.951%,32216853720.0,United States,1996.0,300443,Technology,Computer Software: Prepackaged Software
PLUG,Plug Power Inc. Common Stock,$64.25,0.4,0.626%,31949454094.0,United States,1999.0,24245763,Energy,Industrial Machinery/Components
PCAR,PACCAR Inc. Common Stock,$91.89,0.71,0.779%,31849074000.0,United States,,2042781,Capital Goods,Auto Manufacturing
SBAC,SBA Communications Corporation Class A Common Stock,$281.90,3.63,1.304%,31303021700.0,United States,1999.0,1106146,Consumer Services,Real Estate Investment Trusts
SWKS,Skyworks Solutions Inc. Common Stock,$185.49,-0.3,-0.161%,30587304153.0,United States,,3750982,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$166.05,3.19,1.959%,29722388751.0,United States,2001.0,965833,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IBKR,Interactive Brokers Group Inc. Class A Common Stock,$68.33,2.81,4.289%,29275140456.0,United States,2019.0,1626277,Finance,Investment Bankers/Brokers/Service
